sl_no,ministry_department,sector,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,cost_increase_cr,expenditure_ratio_pct,expenditure_progress_gap,planned_duration_days,revised_duration_days,schedule_delay_days,schedule_delay_months,schedule_delay_pct,project_size_category,has_revised_cost,has_revised_completion,has_physical_progress,has_cost_overrun,has_schedule_delay,cost_overrun_category,delay_category
1,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,N04000106,-,Andhra Pradesh,2023-03-01,2024-01-01,2026-01-01,2026-07-01,265.91,265.91,129.07,65.0,0.0,0.0,48.53897935391673,-16.46102064608327,731,912.0,181.0,5.946123521681997,24.76060191518468,Small,1,1,1,0,1,No Overrun,Moderate Delay
2,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,N04000091,4353,Andhra Pradesh,2020-06-01,2020-09-01,2022-09-01,2026-10-01,611.8,611.8,523.14,87.2,0.0,0.0,85.50833605753515,-1.6916639424648563,730,2221.0,1491.0,48.98160315374507,204.24657534246575,Medium,1,1,1,0,1,No Overrun,Long Delay
3,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,N04000103,-,Andhra Pradesh,2022-12-01,2023-08-01,2025-08-01,2026-06-01,347.15,347.15,170.79,90.0,0.0,0.0,49.19775313265159,-40.80224686734841,731,1035.0,304.0,9.986859395532194,41.58686730506156,Small,1,1,1,0,1,No Overrun,Moderate Delay
4,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,N04000083,9925,Assam,2016-12-01,2018-03-01,2025-03-01,2026-06-01,1712.0,2520.0,2627.39,98.0,47.19626168224299,808.0,153.46904205607476,55.46904205607476,2557,3014.0,457.0,15.013140604467806,17.872506843957765,Large,1,1,1,1,1,High,Long Delay
5,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,-,9918,Bihar,2024-08-01,2025-04-01,2027-03-01,,1413.0,1413.0,7.64,1.28,0.0,0.0,0.5406935598018401,-0.7393064401981599,699,,,,,Large,1,0,1,0,0,No Overrun,Unknown
6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,N04000112,9917,Bihar,2024-07-01,2024-07-01,2026-07-01,2026-11-01,911.66,911.66,374.49,65.0,0.0,0.0,41.07781409736086,-23.922185902639143,730,853.0,123.0,4.040735873850197,16.84931506849315,Medium,1,1,1,0,1,No Overrun,Short Delay
7,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,N04000082,4356,Bihar,2018-10-01,2018-10-01,2026-05-01,2026-05-01,1216.9,1216.9,1200.67,98.22,0.0,0.0,98.66628317856848,0.4462831785684926,2769,2769.0,0.0,0.0,0.0,Large,1,1,1,0,0,No Overrun,No Delay
8,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],701105,N04000095,4831,Goa,2017-11-01,2019-12-01,2021-12-01,2026-04-01,255.69,255.69,156.7,100.0,0.0,0.0,61.28514998631155,-38.71485001368845,731,2313.0,1582.0,51.97109067017082,216.41586867305065,Small,1,1,1,0,1,No Overrun,Long Delay
9,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of Keshod Airport.,Airport Authority of India [AAI],619054,-,-,Gujarat,2024-01-01,2025-07-01,2027-01-01,,363.1,363.1,87.88,33.13,0.0,0.0,24.202698980996967,-8.927301019003036,549,,,,,Small,1,0,1,0,0,No Overrun,Unknown
10,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,N04000099,3366,Gujarat,2022-06-01,2022-07-01,2026-06-01,2026-06-01,1305.0,1551.0,896.82,82.0,18.85057471264368,246.0,68.72183908045977,-13.278160919540229,1431,1431.0,0.0,0.0,0.0,Large,1,1,1,1,0,Moderate,No Delay
11,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],611047,N04000107,9921,Jammu and Kashmir,2023-10-01,2023-12-01,2026-06-01,2026-11-01,861.37,861.37,319.5,51.35,0.0,0.0,37.09207425380499,-14.257925746195014,913,1066.0,153.0,5.026281208935611,16.757940854326396,Medium,1,1,1,0,1,No Overrun,Short Delay
12,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],612787,N04000108,-,Karnataka,2023-06-01,2024-01-01,2026-01-01,2026-06-01,320.47,320.47,148.68,77.0,0.0,0.0,46.39435828626704,-30.60564171373296,731,882.0,151.0,4.960578186596584,20.656634746922027,Small,1,1,1,0,1,No Overrun,Short Delay
13,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],612788,N04000105,-,Karnataka,2023-06-01,2024-02-01,2026-02-01,2026-06-01,322.45,322.45,204.5,87.0,0.0,0.0,63.420685377577925,-23.579314622422075,731,851.0,120.0,3.942181340341656,16.415868673050614,Small,1,1,1,0,1,No Overrun,Short Delay
14,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],612789,N04000111,-,Kerala,2023-06-01,2024-02-01,2025-09-01,2026-12-01,484.57,484.57,204.6,59.0,0.0,0.0,42.22300183667994,-16.77699816332006,578,1034.0,456.0,14.98028909329829,78.89273356401384,Small,1,1,1,0,1,No Overrun,Long Delay
15,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,N04000078,4665,Ladakh,2018-07-01,2018-09-01,2021-09-01,2026-07-01,480.0,640.0,501.81,78.9,33.33333333333333,160.0,104.54375,25.64375,1096,2860.0,1764.0,57.95006570302234,160.94890510948906,Small,1,1,1,1,1,High,Long Delay
16,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,C/o NITB Imphal Airport,Airport Authority of India [AAI],706718,N04000100,-,Manipur,2021-11-01,2022-07-01,2024-07-01,2026-12-01,499.0,499.0,201.99,50.69,0.0,0.0,40.478957915831664,-10.211042084168334,731,1614.0,883.0,29.00788436268068,120.7934336525308,Small,1,1,1,0,1,No Overrun,Long Delay
17,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],611570,-,-,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",2020-12-01,2022-10-01,2025-09-01,2026-08-01,500.48,500.48,381.2,78.0,0.0,0.0,76.16687979539641,-1.8331202046035884,1066,1400.0,334.0,10.972404730617608,31.33208255159475,Medium,1,1,1,0,1,No Overrun,Moderate Delay
18,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],618977,-,10781,Rajasthan,2025-08-01,2025-10-01,2027-10-01,2027-11-01,1507.0,1507.0,40.4,12.8,0.0,0.0,2.680822826808228,-10.119177173191773,730,761.0,31.0,1.0183968462549278,4.2465753424657535,Large,1,1,1,0,1,No Overrun,Short Delay
