sl_no,state,ministry_department,sector,project_count,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr
1,Offshore,Ministry of Petroleum & Natural Gas,Oil & Gas,7,25889.58,29147.7,16132.96
1,Offshore,Ministry of Railways,Railways,1,819,819,580.51
1,PAN India,Department of Telecommunications,Telecommunication,5,141080.68,263402,73544.16
1,PAN India,Ministry of Railways,Railways,1,274.39,274.39,0.00
2,Andaman & Nicobar,Ministry of Housing & Urban Affairs,Real Estate,1,209.88,209.88,0.00
2,Andaman & Nicobar,Ministry of Road Transport & Highways,Roads & Highways,3,653.97,1081.48,0.00
3,Andhra Pradesh,Department for Promotion of Industry & Internal Trade,Real Estate,3,7061.44,7061.44,966.01
3,Andhra Pradesh,Department of Higher Education,Education,1,305,305,64.25
3,Andhra Pradesh,Department of Telecommunications,Telecommunication,3,7147.17,7147.17,2535.97
3,Andhra Pradesh,"Department of Water Resources, River Development & GR",Water Resources,3,10901.5,57269.5,28166.88
3,Andhra Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,1224.86,1224.86,823.00
3,Andhra Pradesh,Ministry of Housing & Urban Affairs,Waste & Water,1,172.22,172.22,88.86
3,Andhra Pradesh,Ministry of Labour and Employment,Healthcare,1,384.27,384.27,253.37
3,Andhra Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,1,2658.34,2810,2315.20
3,Andhra Pradesh,Ministry of Petroleum & Natural Gas,Oil & Gas,4,36642.34,36702.3,33641.98
3,Andhra Pradesh,Ministry of Power,Transmission & Distribution,6,20064.43,20064.4,6687.01
3,Andhra Pradesh,Ministry of Railways,Railways,24,47210.95,55165.6,39727.40
3,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,92,84981.17,83517.7,31423.13
4,Arunachal Pradesh,Department of Higher Education,Education,1,592.61,592.61,551.30
4,Arunachal Pradesh,Department of Telecommunications,Telecommunication,1,1255.49,1255.49,332.43
4,Arunachal Pradesh,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265,9265,6877.97
4,Arunachal Pradesh,Ministry of Power,Electricity Generation,6,64102.68,83892.9,31344.62
4,Arunachal Pradesh,Ministry of Power,Transmission & Distribution,2,4963.8,9338.7,8072.54
4,Arunachal Pradesh,Ministry of Railways,Railways,1,435,1250,853.00
4,Arunachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,13,8895.82,8895.82,1181.98
5,Assam,Department of Higher Education,Education,1,153.71,153.71,137.84
5,Assam,Department of Telecommunications,Telecommunication,1,1255.49,1255.49,332.43
5,Assam,"Department of Water Resources, River Development & GR",Water Resources,1,256.16,256.16,44.70
5,Assam,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,1712,2520,2627.39
5,Assam,Ministry of Coal,Coal,2,449.23,449.23,217.08
5,Assam,Ministry of Labour and Employment,Healthcare,1,143.23,154.75,130.08
5,Assam,Ministry of Petroleum & Natural Gas,Energy Storage,3,10768.4,11947.4,11231.34
5,Assam,Ministry of Petroleum & Natural Gas,Oil & Gas,14,27356.06,37710.9,29379.02
5,Assam,Ministry of Power,Electricity Generation,1,6285.33,26075.5,26150.32
5,Assam,Ministry of Power,Transmission & Distribution,1,5111.33,6700,5577.75
5,Assam,Ministry of Railways,Railways,9,19531.77,21246.8,12700.19
5,Assam,Ministry of Road Transport & Highways,Roads & Highways,55,49110.85,49762,14122.53
6,Bihar,Department of Higher Education,Education,1,499.21,499.21,449.96
6,Bihar,Department of Telecommunications,Telecommunication,3,3883.82,3691.11,1231.42
6,Bihar,"Department of Water Resources, River Development & GR",Waste & Water,5,2351.43,2351.43,1303.45
6,Bihar,"Department of Water Resources, River Development & GR",Water Resources,1,1622.27,2430.76,172.97
6,Bihar,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,3541.56,3541.56,1582.80
6,Bihar,Ministry of Health & Family Welfare,Healthcare,1,250,500,102.21
6,Bihar,Ministry of Health & Family Welfare,Healthcare,1,1264,1264,0.00
6,Bihar,Ministry of Housing & Urban Affairs,Urban Public Transport,1,13365.77,13365.8,5197.09
6,Bihar,Ministry of Housing & Urban Affairs,Waste & Water,1,158.78,158.78,135.72
6,Bihar,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228,11407,10912.42
6,Bihar,Ministry of Petroleum & Natural Gas,Oil & Gas,7,25153.5,27018.2,14520.84
6,Bihar,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3990.06
6,Bihar,Ministry of Power,Electricity Generation,2,40387.09,43704.6,16046.62
6,Bihar,Ministry of Power,Transmission & Distribution,3,3119.63,3119.63,144.45
6,Bihar,Ministry of Railways,Railways,22,45121.2,49589.6,20003.94
6,Bihar,Ministry of Road Transport & Highways,Roads & Highways,80,100804.89,100223,29424.11
7,Chhattisgarh,Department of Higher Education,Education,1,1188.97,1188.97,0.00
7,Chhattisgarh,Department of Telecommunications,Telecommunication,3,7147.17,7147.17,2535.97
7,Chhattisgarh,"Department of Water Resources, River Development & GR",Water Resources,2,842.26,1109.33,867.91
7,Chhattisgarh,Ministry of Coal,Coal,14,34428.39,34428.4,12684.69
7,Chhattisgarh,Ministry of Coal,Railways,1,1686.22,2438.53,625.77
7,Chhattisgarh,Ministry of Health & Family Welfare,Healthcare,3,975,972.85,533.99
7,Chhattisgarh,Ministry of Petroleum & Natural Gas,Oil & Gas,3,10613.29,11024,7576.97
7,Chhattisgarh,Ministry of Power,Electricity Generation,2,25321,25897,6406.93
7,Chhattisgarh,Ministry of Railways,Railways,19,35085.53,39920.6,21279.21
7,Chhattisgarh,Ministry of Road Transport & Highways,Roads & Highways,24,19089.87,20458.4,8158.10
7,Chhattisgarh,Ministry of Steel,Metals & Mining,1,1700,1756.2,258.41
7,Chhattisgarh,Ministry of Steel,Steel,5,7180.39,9700.39,6048.25
8,Dadra & Nagar Haveli and Daman & Diu,Ministry of Housing & Urban Affairs,Waste & Water,1,210,210,0.00
8,Dadra & Nagar Haveli and Daman & Diu,Ministry of Power,Transmission & Distribution,1,4546.26,4546.26,4528.07
8,Dadra & Nagar Haveli and Daman & Diu,Ministry of Railways,Railways,1,108000,108000,90501.89
8,Dadra & Nagar Haveli and Daman & Diu,Ministry of Road Transport & Highways,Roads & Highways,2,2107.8,2891.81,744.49
9,Delhi,Department of Higher Education,Education,2,706.49,709.42,349.89
9,Delhi,Department of Telecommunications,Telecommunication,1,248.2,248.2,237.39
9,Delhi,Ministry of Health & Family Welfare,Healthcare,2,4799.19,4799.19,24.68
9,Delhi,Ministry of Housing & Urban Affairs,Real Estate,1,32850,32841,13885.72
9,Delhi,Ministry of Housing & Urban Affairs,Urban Public Transport,4,51594.36,51594.4,20535.66
9,Delhi,Ministry of Power,Transmission & Distribution,3,3038,3038,2255.75
9,Delhi,Ministry of Railways,Railways,5,19348.46,20637.1,10731.30
9,Delhi,Ministry of Road Transport & Highways,Roads & Highways,6,11477.2,15088.6,10760.80
10,Goa,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,255.69,255.69,156.70
10,Goa,Ministry of Railways,Railways,3,7696.49,8074.62,6467.33
10,Goa,Ministry of Road Transport & Highways,Roads & Highways,4,1729.55,1505.43,236.87
11,Gujarat,Department of Higher Education,Education,1,490.63,490.63,335.08
11,Gujarat,"Department of Water Resources, River Development & GR",Water Resources,2,25739.93,40082.8,36817.84
11,Gujarat,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,1668.1,1914.1,984.70
11,Gujarat,Ministry of Coal,Electricity Generation,4,5421.78,5421.78,2566.37
11,Gujarat,Ministry of Health & Family Welfare,Healthcare,3,1845,2477.48,2165.58
11,Gujarat,Ministry of Housing & Urban Affairs,Real Estate,1,539,539,599.76
11,Gujarat,Ministry of Housing & Urban Affairs,Urban Public Transport,2,22793.32,24944.9,21450.30
11,Gujarat,Ministry of Labour and Employment,Healthcare,2,763.99,763.99,107.55
11,Gujarat,Ministry of Petroleum & Natural Gas,Energy Storage,3,19472.86,19420.4,15762.72
11,Gujarat,Ministry of Petroleum & Natural Gas,Oil & Gas,11,32704.12,32400,24888.12
11,Gujarat,"Ministry of Ports, Shipping and Waterways",Shipping,2,4414.64,4455.25,2393.50
11,Gujarat,"Ministry of Ports, Shipping and Waterways","Tourism, Hospitality & Wellness",1,573,1238.05,614.91
11,Gujarat,Ministry of Power,Electricity Generation,1,339.35,339.35,370.00
11,Gujarat,Ministry of Power,Transmission & Distribution,15,69416.71,69416.7,14254.80
11,Gujarat,Ministry of Railways,Railways,27,189399.71,267208,239144.30
11,Gujarat,Ministry of Road Transport & Highways,Roads & Highways,46,50009.07,56623.3,25864.80
12,Haryana,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,763,763,430.00
12,Haryana,Ministry of Health & Family Welfare,Healthcare,1,1299,1646.43,651.42
12,Haryana,Ministry of Housing & Urban Affairs,Urban Public Transport,2,11683.71,11683.7,165.10
12,Haryana,Ministry of Housing & Urban Affairs,Waste & Water,1,278.01,278.01,228.49
12,Haryana,Ministry of Petroleum & Natural Gas,Energy Storage,1,9028,9028,7160.82
12,Haryana,Ministry of Petroleum & Natural Gas,Oil & Gas,6,46284.07,49955.1,36928.14
12,Haryana,Ministry of Power,Transmission & Distribution,2,11326,11326,2759.57
12,Haryana,Ministry of Railways,Railways,4,53464,126368,125791.51
12,Haryana,Ministry of Road Transport & Highways,Roads & Highways,24,32523.29,35571.1,13971.95
13,Himachal Pradesh,Department of Higher Education,Education,3,811.15,921.89,682.18
13,Himachal Pradesh,Ministry of Power,Electricity Generation,3,5113.04,11168.7,4115.64
13,Himachal Pradesh,Ministry of Railways,Railways,3,17005,17005.1,10532.56
13,Himachal Pradesh,Ministry of Road Transport & Highways,Roads & Highways,25,22698.11,26851.5,9814.17
14,Jammu and Kashmir,Department of Higher Education,Education,1,424.93,500.91,484.52
14,Jammu and Kashmir,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,861.37,861.37,319.50
14,Jammu and Kashmir,Ministry of Health & Family Welfare,Healthcare,1,1828,2160.84,1545.05
14,Jammu and Kashmir,Ministry of Petroleum & Natural Gas,Oil & Gas,2,1059.9,1059.9,306.82
