sl_no,ministry_department,sector,project_name,agency,project_code,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr
1,Department for Promotion of Industry & Internal Trade,Real Estate,Orvakal Industrial Area,NICDC,617727,Andhra Pradesh,08/2024,10/2025,10/2028,-,2786,-
2,Department for Promotion of Industry & Internal Trade,Real Estate,Kopparthy Industrial Area,NICDC,617729,Andhra Pradesh,08/2024,10/2025,10/2028,-,2136,-
3,Department for Promotion of Industry & Internal Trade,Real Estate,Development of Palakkad Node under extension of CBIC to Kochi,National Industrial Corridor Development Corporation,701668,Kerala,08/2024,10/2025,04/2029,-,3805,-
4,Department for Promotion of Industry & Internal Trade,Real Estate,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,National Industrial Corridor Development Corporation,601812,Telangana,08/2024,02/2026,01/2029,-,2360,-
5,Department for Promotion of Industry & Internal Trade,Real Estate,IMC at Prayagraj,National Industrial Corridor Development Corporation,707419,Uttar Pradesh,08/2024,04/2026,12/2028,-,658,-
6,Department of Higher Education,Education,Construction of IIT Bhubaneswar -Phase III,"Indian Institute of Technology, Bhubaneshwar",611961,Odisha,02/2024,05/2024,11/2026,-,454.27,-
7,Ministry of Coal,Coal,North Dhadu Western Part OCP,NLC India Limited [NLCIL],617764,Jharkhand,10/2023,12/2023,03/2029,-,1354.2,-
8,Ministry of Coal,Electricity Generation,810 MW Solar Power Project - Rajasthan,NLC India Limited [NLCIL],618981,Rajasthan,10/2024,09/2025,03/2028,-,4147.07,-
9,Ministry of Housing & Urban Affairs,Urban Public Transport,Bangalore Metro Rail Project - PHASE-3,Bengaluru Metro Rail,612878,Karnataka,06/2026,,05/2031,-,15611,-
10,Ministry of Housing & Urban Affairs,Waste & Water,Lucknow Sewerage Management Infrastructure Project,Ministry of Housing & Urban Affairs,702958,Uttar Pradesh,05/2019,,03/2023,05/2026,142.46,173.21
